News Titles,Day,Date,Links
"Chennai

Being ‘homeless’ and getting inked
Liffy Thomas",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/chennai/
"Karnataka

Fearing defeat, BJP denied ticket to Simha
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/karnataka/
"Tamil Nadu

Governor, T.N. officials pay tributes to Ambedkar on his birth anniversary
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/tamil-nadu/
"Karnataka

HDD takes potshots at CM, Dy. CM
 
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/karnataka/
"Karnataka

BSY calls on Prasad
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/karnataka/
"Karnataka

Will step out of palace to be with people: Yaduveer
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/karnataka/
"Lok Sabha Elections

Congress announces 10 more candidates for Lok Sabha polls
 PTI",Sunday, 14th April 2024,https://www.thehindu.com/elections/lok-sabha/
"Chennai

Two persons held for attempting to murder medical student near Madras Medical College
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/chennai/
"Karnataka

Women’s Commission registers suo motu case against former MLA Sanjay Patil
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/karnataka/
"Lok Sabha Elections

Lok Sabha polls | Islamic federation from Coimbatore meets CM Stalin, extends solidarity
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/elections/lok-sabha/
"Bengaluru

Beating the heat: Bengaluru witnesses surge in sale of ACs and coolers this summer
 Nikita Maria Jino, Tenzin Yangkey",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/bangalore/
"Lok Sabha Elections

Lok Sabha elections | Able to seek third term because of Ambedkar’s Constitution, says PM Modi
Mehul Malpani",Sunday, 14th April 2024,https://www.thehindu.com/elections/lok-sabha/
"Constituency profile: Udupi-Chikkamagaluru
This part-coastal, part-hilly constituency faces a diverse range of issues
 Anil Kumar Sastry",Sunday, 14th April 2024,
"Lok Sabha Elections

Bengaluru’s metro woes amid Lok Sabha elections: Political parties spar over future course of metro; commuters angry at delay
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/elections/lok-sabha/
"Lok Sabha Elections

Farmers’ distress, Ram Mandir, and caste dynamics take centre stage as Maharashtra braces for Phase 1 showdown
Abhinay Deshpande",Sunday, 14th April 2024,https://www.thehindu.com/elections/lok-sabha/
"Karnataka

BJP will form government in Karnataka soon, says Ramesh Jarkiholi
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/karnataka/
